Order No,Cust ID,Order Date,Order Status,Order Amount
4.26E+18,IDQR5836,2002-01-21 12:17,Other,
4.26E+18,K6536692,2002-01-21 12:29,Other,
4.26E+18,QF2G8228,2002-01-21 12:53,Won,1450
4.26E+18,BLXI6985,2002-01-21 13:45,Other,
4.26E+18,X3664756,2002-01-21 13:53,Other,
4.26E+18,X3664756,2002-01-21 13:58,Other,
4.26E+18,X3664756,2002-01-21 14:11,Other,
4.26E+18,9NGI3001,2002-01-21 14:50,Other,
4.26E+18,5VZ32690,2002-01-21 15:05,Other,
4.26E+18,6X894534,2002-01-21 15:15,Other,
4.26E+18,I9D95707,2002-01-21 15:23,Other,
4.26E+18,Y4Z67206,2002-01-21 15:29,Other,
4.26E+18,Y4Z67206,2002-01-21 15:33,Other,
4.26E+18,PLGS2835,2002-01-21 15:53,Other,
4.26E+18,9NGI3001,2002-01-21 16:16,Other,
4.26E+18,D2EB6521,2002-01-21 16:19,Other,
4.26E+18,6X894534,2002-01-21 16:26,Other,
4.26E+18,6X894534,2002-01-21 16:27,Other,
4.26E+18,SEYY4911,2002-01-21 16:33,Other,
4.26E+18,SEYY4911,2002-01-21 16:46,Other,
4.26E+18,YKH84753,2002-01-21 16:59,Other,
4.26E+18,X3664756,2002-01-21 17:16,Other,
4.26E+18,SEYY4911,2002-01-21 17:21,Other,
4.26E+18,X3664756,2002-01-21 17:24,Other,
4.26E+18,9NGI3001,2002-01-21 17:45,Won,887
4.26E+18,71WQ4347,2002-01-21 17:47,Other,
4.26E+18,ZS231580,2002-01-21 17:48,Other,
4.26E+18,DVU07776,2002-01-21 17:57,Other,
4.26E+18,ZIPL1022,2002-01-21 18:17,Other,
4.26E+18,3K3A3827,2002-01-21 18:46,Other,
4.26E+18,3K3A3827,2002-01-21 18:51,Other,
4.26E+18,HLZ97397,2002-01-21 19:03,Other,
4.26E+18,6X894534,2002-01-21 19:11,Won,887
4.26E+18,Z8EA4622,2002-01-21 19:22,Other,
4.26E+18,VR3M4494,2002-01-21 19:42,Other,
4.26E+18,VR3M4494,2002-01-21 19:45,Other,
4.26E+18,DVU07776,2002-01-21 19:48,Other,
4.26E+18,VR3M4494,2002-01-21 19:50,Other,
4.26E+18,DVU07776,2002-01-21 20:02,Other,
4.26E+18,DVU07776,2002-01-21 20:04,Other,
4.26E+18,8WTK1802,2002-01-21 20:10,Other,
4.26E+18,IFPS1808,2002-01-21 20:17,Other,
4.26E+18,DAON9332,2002-01-21 20:31,Other,
4.26E+18,JNRI1209,2002-01-21 20:44,Other,
4.26E+18,YSKF2302,2002-01-21 21:25,Other,
4.26E+18,JNRI1209,2002-01-21 21:58,Other,
4.26E+18,IN7H6011,2002-01-21 22:03,Other,
4.26E+18,6SCK0627,2002-01-21 22:07,Other,
4.26E+18,IN7H6011,2002-01-21 22:12,Other,
4.26E+18,Z7T16962,2002-01-21 22:16,Other,
4.26E+18,9NGI3001,2002-01-21 22:26,Other,
4.26E+18,X5600222,2002-01-21 23:13,Other,
4.26E+18,X5600222,2002-01-21 23:20,Other,
4.26E+18,8DD39923,2002-01-21 23:27,Other,
4.26E+18,65YM0488,2002-01-21 23:27,Other,
4.26E+18,X5600222,2002-01-21 23:28,Other,
4.26E+18,X5600222,2002-01-21 23:39,Other,
4.26E+18,X5600222,2002-01-21 23:41,Other,
4.26E+18,X5600222,2003-01-21 00:01,Other,
4.26E+18,X5600222,2003-01-21 00:04,Other,
4.26E+18,VUIP3643,2003-01-21 00:13,Other,
4.26E+18,H1EP4045,2003-01-21 00:17,Other,
4.26E+18,H1EP4045,2003-01-21 00:19,Other,
4.26E+18,A3I06677,2003-01-21 00:43,Other,
4.26E+18,A3I06677,2003-01-21 00:45,Other,
4.26E+18,RQKE6777,2003-01-21 02:48,Other,
4.26E+18,O9L06496,2003-01-21 03:10,Other,
4.26E+18,TI8R1735,2003-01-21 03:39,Other,
4.26E+18,TI8R1735,2003-01-21 03:41,Other,
4.26E+18,Q36H2208,2003-01-21 05:30,Other,
4.26E+18,85O69812,2003-01-21 06:37,Other,
4.26E+18,85O69812,2003-01-21 06:45,Other,
4.26E+18,KIJA5202,2003-01-21 07:49,Other,
4.26E+18,Y4Z67206,2003-01-21 08:29,Other,
4.26E+18,IN7H6011,2003-01-21 08:56,Other,
4.26E+18,X37K4212,2003-01-21 08:58,Other,
4.26E+18,HHWH6868,2003-01-21 09:48,Other,
4.26E+18,ZTOT0124,2003-01-21 10:16,Other,
4.26E+18,HM9K1056,2003-01-21 10:20,Other,
4.26E+18,ZTOT0124,2003-01-21 10:21,Other,
4.26E+18,HM9K1056,2003-01-21 10:22,Other,
4.26E+18,X37K4212,2003-01-21 10:50,Other,
4.26E+18,EP446346,2003-01-21 11:21,Other,
4.26E+18,EP446346,2003-01-21 11:28,Other,
4.26E+18,65YM0488,2003-01-21 11:33,Other,
4.26E+18,VUIP3643,2003-01-21 11:55,Other,
4.26E+18,EP446346,2003-01-21 11:55,Other,
4.26E+18,9DP02390,2003-01-21 11:55,Other,
4.26E+18,LD8V6913,2003-01-21 11:55,Other,
4.26E+18,1YM11886,2003-01-21 12:08,Other,
4.26E+18,1YM11886,2003-01-21 12:10,Other,
4.26E+18,9RG79749,2003-01-21 12:32,Other,
4.26E+18,PBFR3115,2003-01-21 12:33,Other,
4.26E+18,20N42702,2003-01-21 12:47,Other,
4.26E+18,20N42702,2003-01-21 12:50,Other,
4.26E+18,20N42702,2003-01-21 13:06,Other,
4.26E+18,L28W0182,2003-01-21 14:10,Other,
4.26E+18,IN7H6011,2003-01-21 14:18,Other,
4.26E+18,0X0R2211,2003-01-21 14:21,Other,
4.26E+18,0X0R2211,2003-01-21 14:22,Other,
4.26E+18,WYAE0999,2003-01-21 15:01,Other,
4.26E+18,WYAE0999,2003-01-21 15:03,Other,
4.26E+18,KIJA5202,2003-01-21 15:32,Other,
4.26E+18,CK7N0979,2003-01-21 15:33,Other,
4.26E+18,KO4R6622,2003-01-21 16:09,Other,
4.26E+18,YNEY8229,2003-01-21 16:53,Other,
4.26E+18,YNEY8229,2003-01-21 16:56,Other,
4.26E+18,L57F1913,2003-01-21 17:17,Other,
4.26E+18,YNEY8229,2003-01-21 17:23,Other,
4.26E+18,XTX96208,2003-01-21 17:40,Other,
4.26E+18,EP446346,2003-01-21 17:46,Other,
4.26E+18,Y3OG8218,2003-01-21 17:47,Other,
4.26E+18,YNEY8229,2003-01-21 17:49,Other,
4.26E+18,WKG73725,2003-01-21 17:58,Other,
4.26E+18,E5IC4519,2003-01-21 18:01,Other,
4.26E+18,3K3A3827,2003-01-21 18:03,Other,
4.26E+18,EYCP1777,2003-01-21 18:04,Other,
4.26E+18,EYCP1777,2003-01-21 18:07,Other,
4.26E+18,ZIPL1022,2003-01-21 18:08,Other,
4.26E+18,VKXG8498,2003-01-21 18:15,Other,
4.26E+18,L1IG2152,2003-01-21 18:17,Other,
4.26E+18,EYCP1777,2003-01-21 18:19,Other,
4.26E+18,EYCP1777,2003-01-21 18:21,Other,
4.26E+18,B5407070,2003-01-21 18:24,Other,
4.26E+18,B5407070,2003-01-21 18:29,Other,
4.26E+18,66J36320,2003-01-21 18:56,Other,
4.26E+18,66J36320,2003-01-21 19:03,Other,
4.26E+18,F5ZA7919,2003-01-21 19:03,Other,
4.26E+18,9QN27688,2003-01-21 19:45,Other,
4.26E+18,E8GU4007,2003-01-21 20:00,Other,
4.26E+18,ZQYU9391,2003-01-21 20:16,Other,
4.26E+18,5GIO9652,2003-01-21 20:23,Other,
4.26E+18,ZQYU9391,2003-01-21 20:27,Other,
4.26E+18,PVSW8309,2003-01-21 20:38,Other,
4.26E+18,D60B6098,2003-01-21 20:43,Other,
4.26E+18,RZBS5657,2003-01-21 21:00,Other,
4.26E+18,47GU2651,2003-01-21 21:20,Other,
4.26E+18,HOGS0081,2003-01-21 21:37,Other,
4.26E+18,DGYT7510,2003-01-21 21:37,Other,
4.26E+18,D60B6098,2003-01-21 21:52,Other,
4.26E+18,HOGS0081,2003-01-21 21:52,Other,
4.26E+18,D60B6098,2003-01-21 21:55,Other,
4.26E+18,URVK6818,2003-01-21 22:41,Other,
4.26E+18,URVK6818,2003-01-21 22:44,Other,
4.26E+18,3GM95632,2003-01-21 23:06,Other,
4.26E+18,GMTX3635,2003-01-21 23:14,Other,
4.26E+18,GMTX3635,2003-01-21 23:29,Other,
4.26E+18,REZV4353,2003-01-21 23:31,Other,
4.26E+18,VDT25487,2003-01-21 23:54,Other,
4.26E+18,CK7N0979,2004-01-21 00:17,Other,
4.26E+18,3GM95632,2004-01-21 00:20,Other,
4.26E+18,HZR13051,2004-01-21 00:32,Other,
4.26E+18,SNL29471,2004-01-21 01:32,Other,
4.26E+18,SNL29471,2004-01-21 01:43,Other,
4.26E+18,4NQF2973,2004-01-21 02:22,Other,
4.26E+18,WYAE0999,2004-01-21 05:56,Other,
4.26E+18,IWTM3466,2004-01-21 06:45,Other,
4.26E+18,47GU2651,2004-01-21 06:47,Other,
4.26E+18,47GU2651,2004-01-21 06:47,Other,
4.26E+18,47GU2651,2004-01-21 06:52,Other,
4.26E+18,YRGS7686,2004-01-21 07:07,Other,
4.26E+18,WDW89913,2004-01-21 07:45,Other,
4.26E+18,B9946134,2004-01-21 08:17,Other,
4.26E+18,47GU2651,2004-01-21 08:25,Other,
4.26E+18,PWSR4457,2004-01-21 08:58,Other,
4.26E+18,S3900606,2004-01-21 09:41,Other,
4.26E+18,C5G41331,2004-01-21 10:10,Other,
4.26E+18,686U6098,2004-01-21 10:33,Other,
4.26E+18,686U6098,2004-01-21 10:39,Other,
4.26E+18,D97R9000,2004-01-21 10:39,Other,
4.26E+18,Z8EA4622,2004-01-21 11:28,Other,
4.26E+18,9QN27688,2004-01-21 11:33,Other,
4.26E+18,WKG73725,2004-01-21 11:57,Other,
4.26E+18,B9946134,2004-01-21 13:03,Other,
4.26E+18,B9946134,2004-01-21 13:05,Other,
4.26E+18,P7T59949,2004-01-21 13:14,Other,
4.26E+18,R7G16255,2004-01-21 13:15,Other,
4.26E+18,2UQI1707,2004-01-21 13:17,Other,
4.26E+18,WYAE0999,2004-01-21 13:25,Other,
4.26E+18,KIJA5202,2004-01-21 13:37,Other,
4.26E+18,R7G16255,2004-01-21 13:41,Other,
4.26E+18,LADG2454,2004-01-21 14:01,Other,
4.26E+18,W8LM9471,2004-01-21 14:03,Other,
4.26E+18,0S420385,2004-01-21 14:30,Other,
4.26E+18,NF237622,2004-01-21 15:05,Other,
4.26E+18,WKG73725,2004-01-21 15:42,Other,
4.26E+18,WYAE0999,2004-01-21 16:21,Other,
4.26E+18,LUFU4371,2004-01-21 16:24,Other,
4.26E+18,9QN27688,2004-01-21 16:28,Other,
4.26E+18,60TM1760,2004-01-21 16:36,Other,
4.26E+18,60TM1760,2004-01-21 16:39,Other,
4.26E+18,W76V0344,2004-01-21 17:35,Other,
4.26E+18,65YM0488,2004-01-21 17:56,Other,
4.26E+18,65YM0488,2004-01-21 17:59,Other,
4.26E+18,65YM0488,2004-01-21 18:00,Other,
4.26E+18,QAFX3212,2004-01-21 18:05,Other,
4.26E+18,5GIO9652,2004-01-21 18:54,Other,
4.26E+18,DD4Q5981,2004-01-21 19:23,Won,254
4.26E+18,70I69733,2004-01-21 20:20,Other,
4.26E+18,70I69733,2004-01-21 20:44,Other,
4.26E+18,Z8EA4622,2004-01-21 21:00,Other,15222
4.26E+18,VLPM3058,2004-01-21 21:20,Other,
4.26E+18,DD4Q5981,2004-01-21 21:22,Other,
4.26E+18,DD4Q5981,2004-01-21 21:24,Other,
4.26E+18,CAE26358,2004-01-21 21:24,Other,
4.26E+18,6YYA3583,2004-01-21 22:19,Other,
4.26E+18,Z8EA4622,2004-01-21 22:58,Other,
4.26E+18,V5DK8386,2004-01-21 23:03,Other,
4.26E+18,V5DK8386,2004-01-21 23:14,Other,
4.26E+18,26X80126,2004-01-21 23:14,Other,
4.26E+18,O6FO9541,2004-01-21 23:28,Other,
4.26E+18,KFTX3360,2004-01-21 23:54,Other,
4.26E+18,V5DK8386,2005-01-21 00:22,Other,
4.26E+18,X5600222,2005-01-21 00:41,Other,
4.26E+18,X5600222,2005-01-21 00:44,Other,
4.26E+18,K5B06610,2005-01-21 00:46,Other,
4.26E+18,K5B06610,2005-01-21 00:51,Other,
4.26E+18,PTZ36200,2005-01-21 02:54,Other,
4.26E+18,Q8GW2203,2005-01-21 03:26,Other,
4.26E+18,B8ZM7169,2005-01-21 04:46,Other,
4.26E+18,B8ZM7169,2005-01-21 05:11,Other,
4.26E+18,B8ZM7169,2005-01-21 05:19,Other,
4.26E+18,9NGI3001,2005-01-21 05:43,Other,
4.26E+18,ZQYU9391,2005-01-21 07:00,Other,
4.26E+18,60TM1760,2005-01-21 07:42,Other,
4.26E+18,5GIO9652,2005-01-21 08:32,Other,
4.26E+18,KFTX3360,2005-01-21 08:41,Other,
4.26E+18,6F8D1894,2005-01-21 09:30,Other,
4.26E+18,4CY54445,2005-01-21 10:16,Other,
4.26E+18,Z8EA4622,2005-01-21 10:32,Won,10848
4.26E+18,DE8P0754,2005-01-21 10:34,Other,
4.26E+18,KIJA5202,2005-01-21 10:35,Other,
4.26E+18,P3993249,2005-01-21 11:03,Other,
4.26E+18,34062535,2005-01-21 11:36,Other,
4.26E+18,34062535,2005-01-21 11:40,Other,
4.26E+18,8YVP2567,2005-01-21 11:49,Other,
4.26E+18,70I69733,2005-01-21 11:58,Other,
4.26E+18,IJ8Y8935,2005-01-21 12:22,Other,
4.26E+18,ZTKS1798,2005-01-21 12:23,Other,
4.26E+18,8YVP2567,2005-01-21 12:40,Other,
4.26E+18,D5SO7518,2005-01-21 12:48,Other,
4.26E+18,LUFU4371,2005-01-21 12:49,Other,
4.26E+18,WKG73725,2005-01-21 12:51,Other,
4.26E+18,PBX84555,2005-01-21 13:08,Other,
4.26E+18,85O69812,2005-01-21 13:11,Other,
4.26E+18,9QN27688,2005-01-21 13:11,Won,887
4.26E+18,60TM1760,2005-01-21 13:36,Other,
4.26E+18,ZSTN4750,2005-01-21 13:50,Other,
4.26E+18,9RG79749,2005-01-21 13:55,Won,1335
4.26E+18,LD8V6913,2005-01-21 13:57,Other,
4.26E+18,LD8V6913,2005-01-21 14:01,Other,
4.26E+18,8YVP2567,2005-01-21 14:04,Other,
4.26E+18,LD8V6913,2005-01-21 14:05,Other,
4.26E+18,LD8V6913,2005-01-21 14:09,Other,
4.26E+18,PBX84555,2005-01-21 14:15,Other,
4.26E+18,E69M8741,2005-01-21 14:27,Other,
4.26E+18,EJKM3769,2005-01-21 14:38,Other,
4.26E+18,S7AS3263,2005-01-21 14:46,Other,
4.26E+18,FV9F5434,2005-01-21 14:46,Other,
4.26E+18,EJKM3769,2005-01-21 14:47,Other,
4.26E+18,S7AS3263,2005-01-21 14:48,Other,
4.26E+18,26X80126,2005-01-21 15:02,Won,1444
4.26E+18,8YVP2567,2005-01-21 15:10,Other,
4.26E+18,QAFX3212,2005-01-21 15:17,Other,
4.26E+18,0S420385,2005-01-21 15:18,Other,
4.26E+18,9TCI2632,2005-01-21 15:20,Other,
4.26E+18,9TCI2632,2005-01-21 15:22,Other,
4.26E+18,9TCI2632,2005-01-21 15:28,Other,
4.26E+18,26X80126,2005-01-21 15:31,Won,1646
4.26E+18,0S420385,2005-01-21 15:43,Won,1446
4.26E+18,87R97776,2005-01-21 16:23,Other,
4.26E+18,4ZMH5663,2005-01-21 16:33,Other,
4.26E+18,Y3OG8218,2005-01-21 17:04,Other,
4.26E+18,8U2B2019,2005-01-21 17:17,Other,
4.26E+18,D6FQ0788,2005-01-21 17:18,Other,
4.26E+18,D6FQ0788,2005-01-21 17:24,Other,
4.26E+18,VJUR7637,2005-01-21 17:35,Other,
4.26E+18,VJUR7637,2005-01-21 17:38,Other,
4.26E+18,VJUR7637,2005-01-21 17:44,Other,
4.26E+18,26X80126,2005-01-21 17:48,Won,1605
4.26E+18,5AQE3341,2005-01-21 17:50,Other,
4.26E+18,ZERX9690,2005-01-21 17:53,Other,
4.26E+18,26X80126,2005-01-21 18:08,Won,1645
4.26E+18,5AQE3341,2005-01-21 18:20,Other,
4.26E+18,7TG30409,2005-01-21 18:27,Other,
4.26E+18,70I69733,2005-01-21 18:39,Other,
4.26E+18,QF2G8228,2005-01-21 18:49,Other,
4.26E+18,4ZMH5663,2005-01-21 18:50,Other,
4.26E+18,EP446346,2005-01-21 19:02,Other,
4.26E+18,FV9F5434,2005-01-21 19:05,Other,
4.26E+18,DE8P0754,2005-01-21,Other,
4.26E+18,BPFY2505,2005-01-21,Other,
4.26E+18,5AQE3341,2005-01-21,Other,
4.26E+18,UT3H1048,2005-01-21,Other,
4.26E+18,0G909403,2005-01-21,Other,
4.26E+18,0G909403,2005-01-21,Other,
4.26E+18,G6PX4022,2005-01-21,Other,
4.26E+18,HZR13051,2005-01-21,Other,
4.26E+18,G6PX4022,2005-01-21,Other,
4.26E+18,O37P6639,2005-01-21,Other,
4.26E+18,IMEE2234,2005-01-21,Other,
4.26E+18,WEWN4443,2005-01-21,Other,
4.26E+18,87R97776,2005-01-21,Other,
4.26E+18,IO609916,2005-01-21,Other,
4.26E+18,CWC49119,2005-01-21,Other,
4.26E+18,IO609916,2005-01-21,Other,
4.26E+18,ZTOT0124,2006-01-21,Other,
4.26E+18,ZTOT0124,2006-01-21,Other,
4.26E+18,ZTOT0124,2006-01-21,Other,
4.26E+18,V3X06002,2006-01-21,Other,
4.26E+18,V3X06002,2006-01-21,Other,
4.26E+18,VJP46269,2006-01-21,Other,
4.26E+18,8YVP2567,2006-01-21,Other,
4.26E+18,IEMR2454,2006-01-21,Other,
4.26E+18,IEMR2454,2006-01-21,Other,
4.26E+18,BJ8T1883,2006-01-21,Other,
4.26E+18,INLY2743,2006-01-21,Other,
4.26E+18,Y0AK7588,2006-01-21,Other,
4.26E+18,RQKE6777,2006-01-21,Other,
4.26E+18,S7AS3263,2006-01-21,Other,
4.26E+18,87R97776,2006-01-21,Other,
4.26E+18,INLY2743,2006-01-21,Won,4479
4.26E+18,INLY2743,2006-01-21,Other,
4.26E+18,87R97776,2006-01-21,Other,
4.26E+18,Z8EA4622,2006-01-21,Won,17040
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,DZJU7770,2006-01-21,Other,
4.26E+18,DZJU7770,2006-01-21,Other,
4.26E+18,GD604094,2006-01-21,Other,
4.26E+18,686U6098,2006-01-21,Other,
4.26E+18,IMEE2234,2006-01-21,Other,
4.26E+18,IMEE2234,2006-01-21,Other,
4.26E+18,IMEE2234,2006-01-21,Other,
4.26E+18,XPEW2525,2006-01-21,Other,
4.26E+18,BJ8T1883,2006-01-21,Other,
4.26E+18,DVU07776,2006-01-21,Other,
4.26E+18,HZR13051,2006-01-21,Other,
4.26E+18,DVU07776,2006-01-21,Other,
4.26E+18,1PKX3508,2006-01-21,Other,
4.26E+18,3EO03138,2006-01-21,Other,
4.26E+18,3EO03138,2006-01-21,Other,
4.26E+18,WYAE0999,2006-01-21,Other,
4.26E+18,X2US4850,2006-01-21,Other,
4.26E+18,X5600222,2006-01-21,Other,
4.26E+18,DZJU7770,2006-01-21,Other,
4.26E+18,H85N7431,2006-01-21,Other,
4.26E+18,H85N7431,2006-01-21,Other,
4.26E+18,BJ8T1883,2006-01-21,Other,
4.26E+18,957I3212,2006-01-21,Other,
4.26E+18,DVU07776,2006-01-21,Other,
4.26E+18,DWRT2102,2006-01-21,Other,
4.26E+18,BPFY2505,2006-01-21,Other,
4.26E+18,26X80126,2006-01-21,Other,
4.26E+18,26X80126,2006-01-21,Other,
4.26E+18,6SYC0444,2006-01-21,Other,
4.26E+18,9NGI3001,2006-01-21,Other,
4.26E+18,9RG79749,2006-01-21,Other,
4.26E+18,RR276007,2006-01-21,Other,
4.26E+18,RR276007,2006-01-21,Other,
4.26E+18,VEBN7330,2006-01-21,Other,
4.26E+18,INLY2743,2006-01-21,Other,
4.26E+18,2YSH2566,2006-01-21,Other,
4.26E+18,CO4U5512,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21,Other,
4.26E+18,D6FQ0788,2006-01-21 19:29,Other,
4.26E+18,IFPS1808,2006-01-21 19:42,Other,
4.26E+18,VRW49848,2006-01-21 20:06,Other,
4.26E+18,8YGI6094,2006-01-21 20:58,Other,
4.26E+18,8YGI6094,2006-01-21 20:59,Other,
4.26E+18,IFPS1808,2006-01-21 21:19,Other,
4.26E+18,IFPS1808,2006-01-21 21:25,Other,
4.26E+18,9RG79749,2006-01-21 21:45,Other,
4.26E+18,YVCC8881,2006-01-21 21:57,Other,
4.26E+18,1XW26137,2006-01-21 22:18,Other,
4.26E+18,1XW26137,2006-01-21 22:21,Other,
4.26E+18,2LHK2339,2006-01-21 22:38,Other,
4.26E+18,EYCP1777,2006-01-21 22:51,Other,
4.26E+18,OLU34010,2006-01-21 22:53,Other,
4.26E+18,7YOU5314,2006-01-21 22:57,Other,
4.26E+18,OLU34010,2006-01-21 23:02,Other,
4.26E+18,45T38710,2006-01-21 23:09,Other,
4.26E+18,IFPS1808,2006-01-21 23:26,Other,
4.26E+18,5PZX1886,2006-01-21 23:31,Other,
4.26E+18,1GLN5718,2006-01-21 23:36,Other,
4.26E+18,INLY2743,2006-01-21 23:46,Other,
4.26E+18,D2HT0463,2006-01-21 23:46,Other,
4.26E+18,D2HT0463,2006-01-21 23:49,Other,
4.26E+18,3EO03138,2006-01-21 23:53,Other,
4.26E+18,CBGW0468,2006-01-21 23:54,Other,
4.26E+18,DD4Q5981,2006-01-21 23:57,Other,
4.26E+18,VT7E0420,2007-01-21 00:08,Other,
4.26E+18,1GLN5718,2007-01-21 00:12,Other,
4.26E+18,F7ON0193,2007-01-21 00:28,Other,
4.26E+18,6X894534,2007-01-21 00:45,Other,
4.26E+18,438B0508,2007-01-21 00:50,Other,
4.26E+18,IN7H6011,2007-01-21 06:42,Other,
4.26E+18,Z8EA4622,2007-01-21 08:18,Won,12756
4.26E+18,GF966921,2007-01-21 09:12,Other,
4.26E+18,GF966921,2007-01-21 09:16,Other,
4.26E+18,JOP13959,2007-01-21 09:48,Other,
4.26E+18,ZX1S6703,2007-01-21 10:17,Other,
4.26E+18,IFPS1808,2007-01-21 10:56,Other,
4.26E+18,3WJV9913,2007-01-21 11:01,Other,
4.26E+18,INLY2743,2007-01-21 11:23,Other,
4.26E+18,H8LR8860,2007-01-21 11:40,Other,
4.26E+18,5Z2X5229,2007-01-21 11:58,Other,
4.26E+18,4NQF2973,2007-01-21 12:03,Other,
4.26E+18,BPFY2505,2007-01-21 12:10,Other,
4.26E+18,JDDK8842,2007-01-21 12:20,Other,
4.26E+18,Z8EA4622,2007-01-21 12:27,Other,
4.26E+18,D97R9000,2007-01-21 12:35,Other,
4.26E+18,Z8EA4622,2007-01-21 13:08,Won,17683
4.26E+18,D97R9000,2007-01-21 13:40,Won,887
4.26E+18,MU0G6951,2007-01-21 13:49,Other,
4.26E+18,1YM11886,2007-01-21 14:06,Other,
4.26E+18,GF966921,2007-01-21 14:15,Other,
4.26E+18,KK0K1870,2007-01-21 14:22,Other,
4.26E+18,KK0K1870,2007-01-21 14:23,Other,
4.26E+18,4ZMH5663,2007-01-21 14:28,Other,11601
4.26E+18,BUVF2815,2007-01-21 14:43,Other,
4.26E+18,BUVF2815,2007-01-21 14:58,Other,
4.26E+18,D4Z47530,2007-01-21 15:09,Other,
4.26E+18,JPPS8068,2007-01-21 15:10,Other,
4.26E+18,0S420385,2007-01-21 15:16,Won,1408
4.26E+18,FV9F5434,2007-01-21 15:20,Other,
4.26E+18,UYWZ8836,2007-01-21 16:11,Other,
4.26E+18,UYWZ8836,2007-01-21 16:12,Other,
4.26E+18,UYWZ8836,2007-01-21 16:16,Other,
4.26E+18,8YGI6094,2007-01-21 16:32,Other,
4.26E+18,N4UD8950,2007-01-21 16:57,Other,
4.26E+18,8TP95528,2007-01-21 17:04,Other,
4.26E+18,EUIK4204,2007-01-21 17:04,Other,
4.26E+18,1QDE8275,2007-01-21 17:51,Other,
4.26E+18,NZJG9875,2007-01-21 17:53,Other,
4.26E+18,NZJG9875,2007-01-21 17:57,Other,
4.26E+18,UFV00896,2007-01-21 18:11,Other,
4.26E+18,UFV00896,2007-01-21 18:15,Other,
4.26E+18,YH5C0668,2007-01-21 18:18,Other,
4.26E+18,YH5C0668,2007-01-21 18:20,Other,
4.26E+18,SBRC0556,2007-01-21 18:24,Other,
4.26E+18,F5TD8445,2007-01-21 18:25,Other,
4.26E+18,INLY2743,2007-01-21 18:26,Other,
4.26E+18,STQ54565,2007-01-21 18:30,Other,
4.26E+18,F5TD8445,2007-01-21 18:31,Other,
4.26E+18,STQ54565,2007-01-21 18:33,Other,
4.26E+18,7RZ85500,2007-01-21 18:36,Other,
4.26E+18,YH5C0668,2007-01-21 18:43,Other,
4.26E+18,5TJT1292,2007-01-21 18:48,Other,
4.26E+18,SBRC0556,2007-01-21 18:56,Other,
4.26E+18,STQ54565,2007-01-21 19:12,Other,
